"Buy","Comprar"
"Product details","Detalle de producto"
"Product images","Imagenes de los productos"
"Select all files","Seleccionar todo los datos"
"Data sheets","Fecha tecnica"
"Conformity declarations","Declaraciòn de conformidad"
"Download selected files","Descargar los productos seleccionados"
"Conformity declaration %s %s","Declaraciòn de conformidad %s %s"
"Miscellaneous","Otro"
"Instruction Manual %s %s","Manual de uso %s %s"
"Features","características"
"Dimensions","dimensiones"
"Carabiner","mosquetones"
"Industrie","Industry"
"Sport","Deporte"
"Permanente Absturzsysteme","Sistema permanente anticaídas"
"VRC Schulungen","Vertical Rescue College"
"Atemschutz","Protección respiratoria"
"Select a model...","Seleccione un modelo..."
"Mage_Catalog::Choose an Option...","Seleccione un modelo..."
"About us","Acerca de nosotros"
"More Information","Más información"
"Dependent on availability","Según disponibilidad"
